state_po,county,2000vs2016,2000vs2004,2000vs2008,2000vs2012,2004vs2008,2004vs2012,2004vs2016,2008vs2012,2008vs2016,20012vs2016
AL,Autauga,0.080217889,0.110043553,0.068654881,0.050552917,-0.041388672,-0.059490636,-0.029825664,-0.018101964,0.011563008,0.029664972
AL,Baldwin,0.09576896,0.063290755,0.038643422,0.081856099,-0.024647333,0.018565344,0.032478205,0.043212677,0.057125538,0.013912861
AL,Barbour,0.064538631,0.107857554,0.023381794,-0.022603236,-0.08447576,-0.13046079,-0.043318923,-0.04598503,0.041156837,0.087141867
AL,Bibb,0.331426611,0.225021735,0.238358458,0.246635999,0.013336723,0.021614264,0.106404876,0.008277541,0.093068153,0.084790612
AL,Blount,0.381226181,0.197508006,0.267195116,0.313075747,0.06968711,0.115567741,0.183718175,0.045880631,0.114031065,0.068150434
AL,Bullock,-0.10734943,0.036291022,-0.083759615,-0.127915426,-0.120050637,-0.164206448,-0.143640452,-0.044155811,-0.023589815,0.020565996
AL,Butler,0.067793338,0.119304954,0.066818203,0.008315055,-0.052486751,-0.110989899,-0.051511616,-0.058503148,0.000975135,0.059478283
AL,Calhoun,0.242275103,0.157855166,0.157511196,0.151539179,-0.00034397,-0.006315987,0.084419937,-0.005972017,0.084763907,0.090735924
AL,Chambers,0.112554035,0.138994827,0.049206567,0.016097936,-0.08978826,-0.122896891,-0.026440792,-0.033108631,0.063347468,0.096456099
AL,Cherokee,0.606038303,0.234615614,0.428279573,0.465561818,0.193663959,0.230946204,0.371422689,0.037282245,0.17775873,0.140476485
AL,Chilton,0.314000239,0.193674296,0.229823523,0.254781023,0.036149227,0.061106727,0.120325943,0.0249575,0.084176716,0.059219216
AL,Choctaw,0.15123562,0.096702222,0.088870715,0.060444177,-0.007831507,-0.036258045,0.054533398,-0.028426538,0.062364905,0.090791443
AL,Clarke,-0.014999339,0.062826035,-0.006225625,-0.039729053,-0.06905166,-0.102555088,-0.077825374,-0.033503428,-0.008773714,0.024729714
AL,Clay,0.320523765,0.130749354,0.188247899,0.171770724,0.057498545,0.04102137,0.189774411,-0.016477175,0.132275866,0.148753041
AL,Cleburne,0.442745131,0.186028811,0.29576761,0.354387968,0.109738799,0.168359157,0.25671632,0.058620358,0.146977521,0.088357163
AL,Coffee,0.255490055,0.179041052,0.183182485,0.187027498,0.004141433,0.007986446,0.076449003,0.003845013,0.07230757,0.068462557
AL,Colbert,0.379808464,0.109370798,0.203874101,0.205137971,0.094503303,0.095767173,0.270437666,0.00126387,0.175934363,0.174670493
AL,Conecuh,0.066764907,0.106811532,0.021037637,-0.001387101,-0.085773895,-0.108198633,-0.040046625,-0.022424738,0.04572727,0.068152008
AL,Coosa,0.243583976,0.109094538,0.114393676,0.10196778,0.005299138,-0.007126758,0.134489438,-0.012425896,0.1291903,0.141616196
AL,Covington,0.350450585,0.194041257,0.250902325,0.251110853,0.056861068,0.057069596,0.156409328,0.000208528,0.09954826,0.099339732
AL,Crenshaw,0.275458535,0.198855057,0.199332247,0.176261725,0.00047719,-0.022593332,0.076603478,-0.023070522,0.076126288,0.09919681
